,,backSightDistance,dhw,followingId,frontSightDistance,height,laneID,leftAlongsideId,leftFollowingId,leftPrecedingId,loc_x,loc_y,precedingId,precedingXVelocity,rightAlongsideId,rightFollowingId,rightPrecedingId,thw,ttc,width,xAcceleration,xVelocity,yAcceleration,yVelocity
loc_x,150,0.31333333333333335,0.04666666666666667,0.03333333333333333,0.04,0.02666666666666667,0.07333333333333333,0.0,0.02,0.006666666666666667,0.07333333333333333,0.02666666666666667,0.07333333333333333,0.04,0.006666666666666667,0.013333333333333334,0.03333333333333333,0.02666666666666667,0.04,0.04666666666666667,0.04,0.0,0.013333333333333334,0.006666666666666667
loc_y,150,0.2866666666666667,0.03333333333333333,0.04,0.006666666666666667,0.03333333333333333,0.13333333333333333,0.013333333333333334,0.006666666666666667,0.02,0.02666666666666667,0.03333333333333333,0.10666666666666667,0.06,0.013333333333333334,0.0,0.06,0.02,0.0,0.05333333333333334,0.013333333333333334,0.0,0.013333333333333334,0.02666666666666667
width,150,0.26,0.006666666666666667,0.02,0.0,0.006666666666666667,0.0,0.013333333333333334,0.09333333333333334,0.08,0.006666666666666667,0.006666666666666667,0.08,0.0,0.02,0.0,0.0,0.03333333333333333,0.04666666666666667,0.29333333333333333,0.0,0.006666666666666667,0.02,0.006666666666666667
height,150,0.35333333333333333,0.02,0.03333333333333333,0.02,0.013333333333333334,0.06,0.006666666666666667,0.03333333333333333,0.02,0.03333333333333333,0.02,0.10666666666666667,0.006666666666666667,0.013333333333333334,0.05333333333333334,0.03333333333333333,0.03333333333333333,0.013333333333333334,0.06,0.0,0.0,0.04666666666666667,0.02
xVelocity,150,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013333333333333334,0.0,0.0,0.0,0.0,0.02666666666666667,0.0,0.0,0.013333333333333334,0.0,0.06,0.62,0.04666666666666667,0.0
yVelocity,150,0.22,0.006666666666666667,0.006666666666666667,0.013333333333333334,0.006666666666666667,0.02,0.03333333333333333,0.03333333333333333,0.0,0.006666666666666667,0.013333333333333334,0.0,0.04666666666666667,0.0,0.02,0.03333333333333333,0.0,0.006666666666666667,0.0,0.04666666666666667,0.006666666666666667,0.13333333333333333,0.3466666666666667
xAcceleration,150,0.2866666666666667,0.013333333333333334,0.006666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.0,0.0,0.0,0.013333333333333334,0.08,0.02,0.0,0.0,0.0,0.38666666666666666,0.12,0.06,0.006666666666666667
yAcceleration,150,0.22666666666666666,0.0,0.013333333333333334,0.0,0.0,0.0,0.0,0.006666666666666667,0.02,0.006666666666666667,0.02,0.0,0.07333333333333333,0.013333333333333334,0.02,0.02,0.02,0.006666666666666667,0.0,0.013333333333333334,0.04,0.38,0.12
frontSightDistance,150,0.2,0.03333333333333333,0.013333333333333334,0.04666666666666667,0.02666666666666667,0.06666666666666667,0.04,0.03333333333333333,0.013333333333333334,0.02666666666666667,0.02666666666666667,0.11333333333333333,0.006666666666666667,0.006666666666666667,0.02,0.12666666666666668,0.06,0.02,0.006666666666666667,0.03333333333333333,0.013333333333333334,0.03333333333333333,0.03333333333333333
backSightDistance,150,0.5066666666666667,0.006666666666666667,0.02666666666666667,0.0,0.013333333333333334,0.04,0.0,0.04666666666666667,0.04666666666666667,0.02666666666666667,0.02,0.02666666666666667,0.04666666666666667,0.006666666666666667,0.08666666666666667,0.06,0.006666666666666667,0.0,0.006666666666666667,0.02,0.0,0.006666666666666667,0.0
dhw,150,0.3,0.17333333333333334,0.02,0.04666666666666667,0.013333333333333334,0.013333333333333334,0.02,0.03333333333333333,0.08666666666666667,0.006666666666666667,0.013333333333333334,0.05333333333333334,0.013333333333333334,0.0,0.006666666666666667,0.006666666666666667,0.10666666666666667,0.013333333333333334,0.06,0.0,0.006666666666666667,0.006666666666666667,0.0
thw,150,0.24,0.16666666666666666,0.02,0.03333333333333333,0.0,0.013333333333333334,0.03333333333333333,0.02,0.04666666666666667,0.02,0.02666666666666667,0.06666666666666667,0.02,0.013333333333333334,0.006666666666666667,0.006666666666666667,0.11333333333333333,0.03333333333333333,0.08,0.0,0.006666666666666667,0.02666666666666667,0.006666666666666667
ttc,150,0.21333333333333335,0.006666666666666667,0.02,0.0,0.013333333333333334,0.0,0.02666666666666667,0.006666666666666667,0.02666666666666667,0.0,0.013333333333333334,0.0,0.02,0.02,0.02,0.013333333333333334,0.0,0.4066666666666667,0.013333333333333334,0.02,0.013333333333333334,0.12666666666666668,0.02
precedingXVelocity,150,0.28,0.0,0.0,0.0,0.0,0.006666666666666667,0.006666666666666667,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.013333333333333334,0.0,0.013333333333333334,0.16,0.18,0.0
precedingId,150,0.24666666666666667,0.02,0.04,0.013333333333333334,0.10666666666666667,0.02666666666666667,0.02,0.02666666666666667,0.0,0.02,0.013333333333333334,0.16,0.0,0.006666666666666667,0.08,0.11333333333333333,0.02,0.02,0.03333333333333333,0.0,0.02,0.013333333333333334,0.0
followingId,150,0.26,0.04,0.12,0.013333333333333334,0.006666666666666667,0.03333333333333333,0.0,0.0,0.0,0.02666666666666667,0.006666666666666667,0.09333333333333334,0.02,0.006666666666666667,0.09333333333333334,0.12,0.04666666666666667,0.03333333333333333,0.02666666666666667,0.013333333333333334,0.03333333333333333,0.006666666666666667,0.0
leftPrecedingId,150,0.18666666666666668,0.02,0.0,0.0,0.0,0.0,0.15333333333333332,0.2866666666666667,0.15333333333333332,0.0,0.006666666666666667,0.013333333333333334,0.02,0.0,0.0,0.0,0.02666666666666667,0.006666666666666667,0.07333333333333333,0.0,0.013333333333333334,0.04,0.0
leftAlongsideId,150,0.24666666666666667,0.013333333333333334,0.0,0.02666666666666667,0.0,0.006666666666666667,0.42,0.06666666666666667,0.03333333333333333,0.0,0.006666666666666667,0.0,0.013333333333333334,0.0,0.0,0.0,0.04666666666666667,0.02666666666666667,0.06,0.0,0.006666666666666667,0.02,0.006666666666666667
leftFollowingId,150,0.2866666666666667,0.013333333333333334,0.0,0.0,0.0,0.0,0.04,0.32,0.20666666666666667,0.0,0.0,0.0,0.0,0.006666666666666667,0.0,0.0,0.006666666666666667,0.0,0.04,0.006666666666666667,0.02,0.04666666666666667,0.006666666666666667
rightPrecedingId,150,0.16666666666666666,0.0,0.006666666666666667,0.0,0.0,0.013333333333333334,0.0,0.0,0.0,0.0,0.006666666666666667,0.0,0.013333333333333334,0.013333333333333334,0.17333333333333334,0.5466666666666666,0.006666666666666667,0.02,0.013333333333333334,0.0,0.006666666666666667,0.0,0.013333333333333334
rightAlongsideId,150,0.30666666666666664,0.013333333333333334,0.006666666666666667,0.03333333333333333,0.006666666666666667,0.02,0.0,0.0,0.0,0.006666666666666667,0.013333333333333334,0.006666666666666667,0.05333333333333334,0.18,0.013333333333333334,0.06,0.013333333333333334,0.02,0.0,0.06666666666666667,0.04,0.08,0.06
rightFollowingId,150,0.20666666666666667,0.0,0.006666666666666667,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5133333333333333,0.13333333333333333,0.0,0.006666666666666667,0.0,0.06,0.04666666666666667,0.0,0.006666666666666667
laneID,150,0.3333333333333333,0.0,0.05333333333333334,0.013333333333333334,0.04,0.07333333333333333,0.0,0.0,0.02666666666666667,0.02666666666666667,0.02,0.06666666666666667,0.05333333333333334,0.02666666666666667,0.02666666666666667,0.11333333333333333,0.02666666666666667,0.02,0.04,0.0,0.0,0.006666666666666667,0.03333333333333333
