,,acceleration,allow_speed,angle,change_lane,distance,follower_vehicle_distance,follower_vehicle_speed,lane_id,lane_position,last_action_time,leader_vehicle_distance,leader_vehicle_speed,left_follower_vehicle_distance,left_follower_vehicle_speed,left_leader_vehicle_distance,left_leader_vehicle_speed,max_acceleration,max_deceleration,max_speed,position_x,position_y,right_follower_vehicle_distance,right_follower_vehicle_speed,right_leader_vehicle_distance,right_leader_vehicle_speed,road_id,signal_states,speed,tua,wait_time
lane_id,70,0.08571428571428572,0.0,0.02857142857142857,0.02857142857142857,0.014285714285714285,0.0,0.0,0.6714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.014285714285714285,0.0,0.0,0.0,0.0,0.05714285714285714,0.0,0.0,0.02857142857142857,0.0
lane_position,70,0.15714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
change_lane,70,0.08571428571428572,0.0,0.02857142857142857,0.07142857142857142,0.0,0.0,0.0,0.11428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08571428571428572,0.45714285714285713,0.0,0.04285714285714286,0.0,0.0,0.0,0.0,0.04285714285714286,0.014285714285714285,0.014285714285714285,0.04285714285714286,0.0
leader_vehicle_distance,70,0.24285714285714285,0.0,0.0,0.0,0.014285714285714285,0.02857142857142857,0.014285714285714285,0.014285714285714285,0.0,0.0,0.5285714285714286,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12857142857142856,0.0,0.0
leader_vehicle_speed,70,0.07142857142857142,0.0,0.0,0.0,0.014285714285714285,0.11428571428571428,0.07142857142857142,0.0,0.0,0.0,0.0,0.6428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08571428571428572,0.0,0.0
follower_vehicle_distance,70,0.15714285714285714,0.0,0.0,0.0,0.0,0.6428571428571429,0.04285714285714286,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0
follower_vehicle_speed,70,0.07142857142857142,0.0,0.0,0.0,0.07142857142857142,0.0,0.7428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014285714285714285,0.0,0.1,0.0,0.0
left_leader_vehicle_distance,70,0.15714285714285714,0.0,0.02857142857142857,0.014285714285714285,0.0,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.5142857142857142,0.0,0.0,0.0,0.0,0.0,0.014285714285714285,0.014285714285714285,0.0,0.05714285714285714,0.0,0.0,0.0,0.0,0.0,0.0
left_leader_vehicle_speed,70,0.15714285714285714,0.014285714285714285,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.04285714285714286,0.0,0.0,0.02857142857142857,0.014285714285714285,0.0,0.0,0.42857142857142855,0.0,0.0,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.0,0.0,0.05714285714285714,0.02857142857142857,0.014285714285714285,0.07142857142857142,0.0,0.04285714285714286,0.02857142857142857
left_follower_vehicle_distance,70,0.17142857142857143,0.0,0.0,0.0,0.04285714285714286,0.014285714285714285,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08571428571428572,0.0,0.04285714285714286,0.0,0.0,0.0,0.0,0.0,0.0
left_follower_vehicle_speed,70,0.1,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.014285714285714285,0.0,0.0,0.0,0.0,0.014285714285714285,0.4857142857142857,0.02857142857142857,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2571428571428571,0.0,0.0,0.04285714285714286,0.0,0.0,0.0
right_leader_vehicle_distance,70,0.07142857142857142,0.0,0.014285714285714285,0.0,0.0,0.14285714285714285,0.014285714285714285,0.02857142857142857,0.0,0.014285714285714285,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014285714285714285,0.014285714285714285,0.0,0.6428571428571429,0.0,0.014285714285714285,0.014285714285714285,0.0,0.0,0.0
right_leader_vehicle_speed,70,0.1,0.0,0.0,0.0,0.0,0.1,0.04285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.014285714285714285,0.05714285714285714,0.0,0.014285714285714285,0.0,0.02857142857142857,0.0,0.014285714285714285,0.014285714285714285,0.02857142857142857,0.0,0.5,0.05714285714285714,0.014285714285714285,0.0,0.0,0.014285714285714285
right_follower_vehicle_distance,70,0.18571428571428572,0.0,0.07142857142857142,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.04285714285714286,0.0,0.04285714285714286,0.0,0.014285714285714285,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.5,0.02857142857142857,0.0,0.0,0.0,0.04285714285714286,0.014285714285714285,0.0,0.0
right_follower_vehicle_speed,70,0.22857142857142856,0.0,0.0,0.0,0.0,0.014285714285714285,0.05714285714285714,0.0,0.014285714285714285,0.0,0.05714285714285714,0.014285714285714285,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11428571428571428,0.45714285714285713,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,0.0
distance,70,0.2,0.0,0.0,0.0,0.7428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05714285714285714,0.0,0.0
signal_states,70,0.08571428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.04285714285714286,0.0,0.0,0.0,0.0,0.0,0.8142857142857143,0.0,0.0,0.0
tua,70,0.14285714285714285,0.014285714285714285,0.08571428571428572,0.0,0.0,0.0,0.0,0.17142857142857143,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.24285714285714285,0.014285714285714285,0.1,0.0,0.0,0.0,0.0,0.05714285714285714,0.0,0.0,0.0,0.0
last_action_time,70,0.14285714285714285,0.014285714285714285,0.0,0.04285714285714286,0.014285714285714285,0.0,0.0,0.12857142857142856,0.0,0.04285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.35714285714285715,0.0,0.12857142857142856,0.0,0.0,0.0,0.0,0.014285714285714285,0.0,0.04285714285714286,0.0,0.0
wait_time,70,0.11428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22857142857142856,0.0,0.0,0.6571428571428571
